2019-01-12 12:01:09,b'RT @SunilBaitman: #MediaCaughtLying .\n\nThis gentleman a #MeToo hero and a Lutyens Media Gang member was awarded with Padma Shri award by th\xe2\x80\xa6'
2019-01-12 12:00:42,"b'RT @LiamMcEwan: @sundancefest It\xe2\x80\x99s a shame you are screening this MJ \xe2\x80\x9cdocumentary\xe2\x80\x9d. There has been a full investigation, he was proven inno\xe2\x80\xa6'"
2019-01-12 12:00:20,"b""Read: No Needs No Explanation (Time's Up) https://t.co/oAfh3OaVx9 #feminism #metoo #timesup https://t.co/IjNZ07mVir"""
2019-01-12 12:00:09,b'Great initiative from students and RAs behind the open letter on #diversityinecon for a #MeToo  in economics via \xe2\x81\xa6\xe2\x80\xa6 https://t.co/MSmz5VTZl9'
2019-01-12 12:00:07,b'RT @MattGrossmann: Older Republican women are the most hostile to the #metoo movement:\nhttps://t.co/8oMViEwQMQ https://t.co/2PVSZs5iMI'
2019-01-12 12:00:00,b'The harsh toll that @rosemcgowan\xe2\x80\x99s #metoo fight has taken is exposed in today\xe2\x80\x99s #MDLLA. https://t.co/eHWOUFgRGG'
2019-01-12 11:59:35,"b""Geena Davis on Founding Her Diversity-Focused Institute, Putting Women in STEM Onscreen, and Watching Hollywood's\xe2\x80\xa6 https://t.co/DzTs03WZm8"""
2019-01-12 11:59:04,"b'@NCWIndia please take a note of this, IAS level officers are involved into #MeTooIndia #MeToo cases.\nNeed immediate\xe2\x80\xa6 https://t.co/ZMhacfus3p'"
2019-01-12 11:58:49,"b'@DrRJKavanagh Too often, the default response of men has been to downplay or derail the conversations that women tr\xe2\x80\xa6 https://t.co/FDGSsvctMq'"
2019-01-12 11:58:28,"b'What\xe2\x80\x99s this? A nuanced, insightful, sensitively handled look at sexual harassment? Did I spot the incredible\xe2\x80\xa6 https://t.co/teitV3Atz6'"
2019-01-12 11:58:19,"b'RT @LiriaForsythe: We cannot allow others people\xe2\x80\x99s healing to supersede our own healing. We can love and empathize with them, but sometimes\xe2\x80\xa6'"
2019-01-12 11:58:00,b'Porn ban in India will cause frustration shall increase in rape and sexual harrassement ? @PMOIndia @narendramodi\xe2\x80\xa6 https://t.co/PluaHpCNYr'
2019-01-12 11:57:17,b'RT @Himalistan: Another barrier to the #MeToo movement in Pakistan is its potential for being used to bolster a further restriction on the\xe2\x80\xa6'
2019-01-12 11:57:14,"b'RT @SophieRunning: ""Now that #MeToo has finally returned to black girls, we have to make sure it does not leave... history shows that socia\xe2\x80\xa6'"
2019-01-12 11:57:02,b'RT @Himalistan: Another barrier to the #MeToo movement in Pakistan is its potential for being used to bolster a further restriction on the\xe2\x80\xa6'
2019-01-12 11:56:38,b'RT @DrGPradhan: INPUT\n\n#MeToo Movement is over. It was PINDI game.  Now a new movement will come soon\n\nThe new Movement will be directed to\xe2\x80\xa6'
2019-01-12 11:56:27,"b'BTW....\nJudge gave Alok Nath bail, accuser intent seemed doubtful.\nJudge threw out Ashley Judd case against Harvey\xe2\x80\xa6 https://t.co/DP66AWYED2'"
2019-01-12 11:56:15,"b'@TrueFactsStated @SenGillibrand @KamalaHarris @SenWarren @amyklobuchar @alfranken Love ya, Claude, but Al Franken w\xe2\x80\xa6 https://t.co/vSbaH1gydf'"
2019-01-12 11:55:51,"b'RT @CHSommers: Journalist Tour\xc3\xa9 , who has been active deploring the \xe2\x80\x9cpatriarchy\xe2\x80\x9d and calling out #MeToo predators, now Accused Of Workplace\xe2\x80\xa6'"
2019-01-12 11:55:33,"b""RT @jtLOL: Gotta say, this guy getting #MeToo'ed is some flavorful justice. https://t.co/LMlNVNyNsB"""
2019-01-12 11:55:03,b'You too ...#METOO Will CELEBRATE!!! THIS 2019!!!\xf0\x9f\x99\x8c\xf0\x9f\x99\x8c\xf0\x9f\x99\x8c\xf0\x9f\x99\x8c\xf0\x9f\x99\x8c https://t.co/1Te5wHrlqv'
2019-01-12 11:54:57,"b'RT @LiamMcEwan: @sundancefest It\xe2\x80\x99s a shame you are screening this MJ \xe2\x80\x9cdocumentary\xe2\x80\x9d. There has been a full investigation, he was proven inno\xe2\x80\xa6'"
2019-01-12 11:54:53,"b""RT @bau_sheep: @Sol89 @modestlyratchet And then there's the part where the white #MeToo movement uses you Black girls to dis Black men."""
2019-01-12 11:54:49,"b""RT @LeaskyHT: There's probably an interesting wee academic study to be done into partisan social media responses to reporting of #metoo con\xe2\x80\xa6"""
2019-01-12 11:54:39,"b'RT @nsbchd: @tinkerbell9958 Stay with Family, stay away from #metoo \xf0\x9f\x99\x8a\xf0\x9f\x99\x8a\xf0\x9f\x99\x8a'"
2019-01-12 11:54:26,b'RT @Quillette: The Posthumous #MeToo-ing of J. D. Salinger https://t.co/cACJuzupdZ'
2019-01-12 11:54:25,"b'RT @SophieRunning: ""Now that #MeToo has finally returned to black girls, we have to make sure it does not leave... history shows that socia\xe2\x80\xa6'"
2019-01-12 11:53:57,"b'Got a lot of confused responses to this tweet yesterday, some well-meaning, others defensive. So I thought I\xe2\x80\x99d go a\xe2\x80\xa6 https://t.co/zjyEWA0B3Q'"
2019-01-12 11:53:28,"b'RT @SophieRunning: ""Now that #MeToo has finally returned to black girls, we have to make sure it does not leave... history shows that socia\xe2\x80\xa6'"
2019-01-12 11:53:20,b'RT @DrGPradhan: INPUT\n\n#MeToo Movement is over. It was PINDI game.  Now a new movement will come soon\n\nThe new Movement will be directed to\xe2\x80\xa6'
2019-01-12 11:53:19,b'RT @Clear2Insanity: Seriously this is CRAZY!\nCan ANYONE help investigate/protect/get justice for/give a voice to @ChrissieBixler and @Riale\xe2\x80\xa6'
2019-01-12 11:53:12,b'RT @SelmaJaffa48: @cjsienna55 @swilkinsonbc @georgegalloway @jeremycorbyn @EmmaWatson @codepink @SocialistVoice @AntiRacismDay @ifamericans\xe2\x80\xa6'
2019-01-12 11:52:44,"b'""Now that #MeToo has finally returned to black girls, we have to make sure it does not leave... history shows that\xe2\x80\xa6 https://t.co/7xUlPmIiE4'"
2019-01-12 11:52:33,b'RT @LUBOttom: Confused about Netflix\xe2\x80\x99s policy on #MeToo accused. They fired Spacey &amp; Masterson but their new film stars Dreyfuss. Is this n\xe2\x80\xa6'
2019-01-12 11:52:31,"b""RT @TalbertSwan: REMINDER: Here is the most powerful sexual predator in the world today.\n63 million people didn't care about the stories of\xe2\x80\xa6"""
2019-01-12 11:52:20,b'@SamWhiteTky Same James O\xe2\x80\x99Brien who jumped all over the #metoo campaign  despite relentlessly harassing Nadine Dorr\xe2\x80\xa6 https://t.co/h8z9fw7qtR'
2019-01-12 11:52:13,b'RT @UE_Official: ASUU Strike Set To Continue As Lecturers Reject Offers From FG https://t.co/3nXnPqw56c #merrychristmas #giveaway #contest\xe2\x80\xa6'
2019-01-12 11:51:53,b'RT @DrGPradhan: INPUT\n\n#MeToo Movement is over. It was PINDI game.  Now a new movement will come soon\n\nThe new Movement will be directed to\xe2\x80\xa6'
