A fruitful interaction with Tamil Nadu BJP Karyakartas. Watch. https://t.co/usKt1MJJx9
Releasing a commemorative coin in honour of Sri Guru Gobind Singh Ji. https://t.co/roj8OyZmOQ
"I bow to Sri Guru Gobind Singh Ji on his Jayanti.

ਮੈਂ ਸਾਹਿਬ-ਏ-ਕਮਾਲ ਸਰਬੰਸ ਦਾਨੀ ਸਾਹਿਬ ਸ੍ਰੀ ਗੁਰੂ ਗੋਬਿੰਦ ਸਿੰਘ ਮਹਾਰਾਜ ਜੀ ਦੇ ਪ੍ਰਕਾਸ਼ ਪੁਰਬ ਦੀ ਸਮੂਹ ਸੰਗਤਾਂ ਨੂੰ ਵਧਾਈ ਦਿੰਦਾ ਹਾਂ ਤੇ ਗੁਰੂ ਸਾਹਿਬ ਅੱਗੇ ਸੀਸ ਝੁਕਾਉਂਦਾ ਹਾਂ। https://t.co/Pt4k2BgLDS"
"यह लड़ाई सल्तनत और संविधान में आस्था रखने वाले लोगों के बीच है। एक तरफ वे लोग हैं जिन्हें हर हाल में केवल अपनी सल्तनत बचाए रखनी है और दूसरी तरफ हम लोग हैं, जो बाबासाहेब अंबेडकर के संविधान को मानते हैं, उसके अनुसार चलते है। https://t.co/LKMeQffZ47"
"देश मजबूत सरकार चाहता है, वो मजबूर सरकार चाहते हैं… https://t.co/Wi0JMI9a2V"
"We have come a long way.

Back in the day, aeroplanes would wait to escort middlemen who were close to one party and one family.

Now, middlemen are being forced to return to India.

What they looted will have to be returned and those for whom they looted will be punished. https://t.co/Ummbdonp0b"
"There is a Common Process, and there is a Congress Process.

The Congress Process encouraged favouritism, corruption, nepotism and compromised India’s welfare.

After coming to power, we transformed the processes and the results are for everyone to see. https://t.co/n3py4jIM5G"
"हमें काम से मतलब है, विपक्ष को नाम से मतलब है। फर्क साफ है। https://t.co/oA0TEVAuru"
"भाजपा किसानों के साथ कंधे से कंधा मिलाकर खड़ी है। 

अपने अन्नदाता को हम नए भारत की नई ऊर्जा का वाहक बनाना चाहते हैं। https://t.co/w4AHVQWgVA"
"We want India’s youth to express and excel. 

The Government is creating an environment that gives our Yuva Shakti the platform to showcase their skills as well as talents. https://t.co/9805cqZg0l"
"भारतीय जनता पार्टी का एक ही मकसद है विकास। 

विकास के हमारे मंत्र का मूल है, सबका साथ, सबका विकास और एक भारत, श्रेष्ठ भारत। https://t.co/KpVNl4UYLC"
